,Latitude,Longitude,Velocidade,Orientação
364,-29.933334773432147,-51.17769562065135,79,0
365,-29.933334773432147,-51.17769562065135,79,0
366,-29.931661377085494,-51.17781514896182,88,0
367,-29.930804188344656,-51.17800639425858,85,0
368,-29.930804188344656,-51.17800639425858,85,0
369,-29.929192263700532,-51.17865184713515,85,0
370,-29.928399961756813,-51.17899335659365,85,0
371,-29.928399961756813,-51.17899335659365,85,0
372,-29.928399961756813,-51.17899335659365,85,0
373,-29.928399961756813,-51.17899335659365,85,0
374,-29.925073659631018,-51.180055451009586,88,0
375,-29.925073659631018,-51.180055451009586,88,0
376,-29.92421647089018,-51.18027060196844,88,0
377,-29.922508923597675,-51.180700903886155,88,0
378,-29.921682470708106,-51.18095703598003,85,0
379,-29.921682470708106,-51.18095703598003,85,0
380,-29.920394980049558,-51.18151711149197,61,0
381,-29.91989296114556,-51.18176299830209,52,0
382,-29.91989296114556,-51.18176299830209,52,0
383,-29.919452413944096,-51.181964488882606,45,0
384,-29.918755734648755,-51.182265017206085,36,0
385,-29.918496187460292,-51.182353809665294,26,0
386,-29.918390319528157,-51.182415281367824,14,0
387,-29.918390319528157,-51.182415281367824,14,0
388,-29.918390319528157,-51.182415281367824,14,0
389,-29.918270791217683,-51.18252456439455,0,0
390,-29.918270791217683,-51.18252456439455,0,0
391,-29.918270791217683,-51.18252456439455,0,0
392,-29.918270791217683,-51.18252456439455,0,0
393,-29.918270791217683,-51.18252456439455,0,0
394,-29.918270791217683,-51.18252456439455,0,0
395,-29.918270791217683,-51.18252456439455,0,0
396,-29.918110281772186,-51.18256554552956,12,0
397,-29.918110281772186,-51.18256554552956,12,0
398,-29.91757411192234,-51.18270556440755,37,0
399,-29.91714381000463,-51.182760205920914,48,0
400,-29.91661788543854,-51.182760205920914,56,0
401,-29.91661788543854,-51.182760205920914,56,0
402,-29.915299658928728,-51.182599696475414,73,22
403,-29.914548338120028,-51.18246992288118,79,0
404,-29.914548338120028,-51.18246992288118,79,0
405,-29.912915922908393,-51.18223428135482,85,22
406,-29.912079224735066,-51.181988394544696,88,22
407,-29.912079224735066,-51.181988394544696,88,22
408,-29.91039558310466,-51.181377092613985,88,22
409,-29.90954863964758,-51.181042413344656,88,22
410,-29.90954863964758,-51.181042413344656,88,22
411,-29.907940130098037,-51.180420866130184,85,22
412,-29.907154658343487,-51.18014082837421,79,22
413,-29.907154658343487,-51.18014082837421,79,22
414,-29.906457979048145,-51.17988469628033,68,22
415,-29.905330997835094,-51.17948854530847,50,22
416,-29.905330997835094,-51.17948854530847,50,22
417,-29.905330997835094,-51.17948854530847,50,22
418,-29.90419377133829,-51.17906848867452,31,22
419,-29.903927393960657,-51.1789831113099,26,22
420,-29.90365760148844,-51.17889773394527,24,22
421,-29.90365760148844,-51.17889773394527,24,22
422,-29.90341171467832,-51.178791866013135,9,22
423,-29.903367318448716,-51.178757715067285,3,22
424,-29.903357073164962,-51.178757715067285,0,45
425,-29.903357073164962,-51.178757715067285,0,45
426,-29.903357073164962,-51.178757715067285,0,45
427,-29.903357073164962,-51.178757715067285,0,45
428,-29.903357073164962,-51.178757715067285,0,45
429,-29.903346827881204,-51.178757715067285,0,45
430,-29.90333658259745,-51.17873722449978,0,45
431,-29.90333658259745,-51.17873722449978,0,45
432,-29.90328194108409,-51.178703073553926,13,22
433,-29.90276967689634,-51.17850158297341,37,22
434,-29.90185784664214,-51.178177148987835,59,22
435,-29.90185784664214,-51.178177148987835,59,22
436,-29.90185784664214,-51.178177148987835,59,22
437,-29.900611337118615,-51.1777297715972,68,22
438,-29.900611337118615,-51.1777297715972,68,22
439,-29.899323846460067,-51.17726531873364,68,22
440,-29.89866814829975,-51.17702967720727,68,22
441,-29.89866814829975,-51.17702967720727,68,22
442,-29.89866814829975,-51.17702967720727,68,22
443,-29.89866814829975,-51.17702967720727,68,22
444,-29.89651322361661,-51.17633299791193,71,0
445,-29.895181336728456,-51.176548148870786,63,0
446,-29.895181336728456,-51.176548148870786,63,0
447,-29.89339182716591,-51.17726531873364,66,0
448,-29.89339182716591,-51.17726531873364,66,0
449,-29.892780525235196,-51.177524865922095,68,0
450,-29.892780525235196,-51.177524865922095,68,0
451,-29.89213507235863,-51.17778099801597,68,0
452,-29.890847581700083,-51.178296677298306,68,0
453,-29.8902055439181,-51.17855280939218,68,0
454,-29.8902055439181,-51.17855280939218,68,0
455,-29.888993185340425,-51.17904799810701,59,0
456,-29.888993185340425,-51.17904799810701,59,0
457,-29.888016468289113,-51.17944414907887,45,0
458,-29.888016468289113,-51.17944414907887,45,0
459,-29.887384675790887,-51.17970369626733,22,0
460,-29.887384675790887,-51.17970369626733,22,0
461,-29.887220751250805,-51.17979931891571,12,0
462,-29.887200260683294,-51.17979931891571,0,0
463,-29.887200260683294,-51.17979931891571,0,0
464,-29.887200260683294,-51.17979931891571,0,0
465,-29.887200260683294,-51.17979931891571,0,0
466,-29.887200260683294,-51.17979931891571,0,0
467,-29.887200260683294,-51.179809564199466,4,0
468,-29.887200260683294,-51.179809564199466,4,0
469,-29.88709439275116,-51.17984030005073,15,0
470,-29.886578713468825,-51.18004520572583,36,0
471,-29.886578713468825,-51.18004520572583,36,0
472,-29.886578713468825,-51.18004520572583,36,0
473,-29.885140958648535,-51.18059162085943,66,0
474,-29.885140958648535,-51.18059162085943,66,0
475,-29.885140958648535,-51.18059162085943,66,0
476,-29.88383297742248,-51.18095703598003,63,0
